the: 这/那
least: 最少
office: 办公室
president: 总统
learn: 学习
war: 战争
real: 真的
offer: 给予
team: 队
minute: 分
person: 人
best: 最好的
full: 全部
reason: 理由
several: 几个的
view: 视野
consider: 考虑
kid: 小山羊
expect: 预期
suggest: 提议
anything: 任何事
ago: 以前
term: 术语
towards: 向
low: 低点
public: 公众
understand: 理解
require: 需要
read: 读
watch: 观察
period: 时期
figure: 数字
society: 社会
centre: 中心
parent: 父母
police: 警察
stop: 停止
add: 增加
create: 创造
fall: 落下
probably: 大概
available: 可利用的
speak: 说
others: 其他人
price: 价格
control: 控制
action: 行动
cost: 代价
spend: 花费
process: 程序
health: 健康
remain: 保持
position: 位置
art: 艺术
remember: 记得
course: 课程
sure: 确信
history: 历史
buy: 买
education: 教育
grow: 种植
actually: 事实上
open: 公开
type: 类型
morning: 早晨
research: 研究
subject: 科目
walk: 走
programme: 节目
moment: 片刻
win: 赢得
girl: 女孩
age: 年龄
guy: 家伙
britain: 英国
food: 食物
send: 发送
value: 价值
order: 次序
force: 力量
air: 空气
matter: 事件
act: 行动
teacher: 老师
receive: 收到
enough: 充足
decide: 决定
main: 主要部分
across: 越过
less: 较少
foot: 脚
street: 街道
decision: 决定
boy: 男孩
industry: 勤劳
maybe: 也许
patient: 病人
toward: 向
mind: 思想
class: 班级
everything: 每件事物
clear: 清楚的
love: 爱
major: 主修课
music: 音乐
church: 教堂
including: 包含
themselves: 他们自己
paper: 纸
itself: 它本身
describe: 描述
condition: 情况
human: 人
develop: 发展
wait: 等待
agree: 同意
serve: 可作...用
economic: 经济上的
die: 死亡
reach: 伸出
upon: 在...之上
bank: 银行
century: 世纪
sense: 感应
build: 建立
therefore: 因此
section: 区段
stay: 停留
table: 桌子
england: 英格兰
activity: 活动
nation: 国家
hundred: 百
plan: 计划
cut: 切口
death: 死亡
college: 学院
involve: 包括
someone: 有人
building: 建筑物
experience: 经历
behind: 在后地
sort: 种类
likely: 有可能的
staff: 全体人员
kill: 杀
return: 回来
draw: 拉
particular: 一项
raise: 上升
town: 城镇
care: 小心
mrs: 太太
international: 国际的
language: 语言
either: 任一的
hard: 坚硬的
special: 专辑
difficult: 困难的
field: 领域
certain: 确定的
else: 别的
particularly: 特别
pass: 经过
former: 从前的
sell: 卖
hope: 希望
sometimes: 有时
management: 经营
along: 平行地
department: 部门
committee: 委员会
product: 产品
role: 角色
better: 较好的
whole: 全部
practice: 实践
effort: 努力
letter: 信
ground: 土地
evidence: 根据
meeting: 会议
strong: 强壮的
heart: 心
rather: 宁可
drug: 药
leader: 领导者
light: 光
third: 第三
voice: 声音
wife: 妻子
union: 联盟
ten: 十
finally: 最后
half: 一半
pull: 拉
land: 陆地
event: 事件
free: 自由的
military: 军队
shall: 将
cause: 原因
according: 相符的
thus: 如此
explain: 解释
son: 儿子
support: 支持
stage: 阶段
lie: 谎言
range: 排
trade: 贸易
relationship: 关系
accept: 接受
drive: 驾车
arm: 手臂
god: 上帝
true: 真实的
club: 俱乐部
federal: 联邦的
break: 休息
difference: 不同
account: 报告
thank: 谢意
material: 材料
short: 短的
whose: 谁的
easy: 容易的
situation: 情形
model: 模型
join: 参加
season: 季节
record: 记录
manager: 经理
project: 计划
tax: 税
director: 主管
example: 例子
european: 欧洲人
player: 竞赛者
yesterday: 昨天
base: 底部
especially: 尤其
training: 训练
pick: 精选
window: 窗户
wear: 穿着
central: 中央的
space: 位置
apply: 涂
increase: 增加
cover: 盖子
official: 官员
usually: 通常
everyone: 每个人
center: 中心
university: 大学
couple: 对
site: 位置
claim: 要求
sir: 先生
hit: 打击
indeed: 的确
quality: 品质
star: 星
rule: 规则
certainly: 确定地
eat: 吃
similar: 相似的
worker: 工人
teach: 教
oil: 油
pound: 磅
data: 资料
nature: 自然
common: 通常的
image: 影像
necessary: 必要的
officer: 军官
phone: 电话
structure: 结构
europe: 欧洲
contain: 包含
unit: 单位
method: 方法
hospital: 医院
picture: 图画
bed: 床
movement: 运动
piece: 块
detail: 细节
recent: 最近的
reduce: 减少
simply: 简单地
single: 单身的
doctor: 医生
date: 日期
wall: 墙
uk: 联合王国
news: 新闻
personal: 私人的
seven: 七
test: 测试
establish: 建立
movie: 电影
north: 北方
eight: 八
computer: 电脑
private: 私人的
herself: 她自己
approach: 接近
amount: 总数
bit: 少量
technology: 技术
catch: 捕捉
wish: 希望
scheme: 方案
step: 步骤
baby: 婴孩
award: 奖品
attention: 注意
seek: 寻求
achieve: 完成
chapter: 章
film: 软片
choose: 选择
republican: 共和主义者
deal: 交易
organization: 组织
theory: 理论
tree: 树
property: 财产
source: 来源
poor: 贫穷的
red: 红的
nearly: 几乎
wide: 宽的
south: 南方
financial: 财政的
hair: 头发
twenty: 二十
firm: 公司
application: 应用
cos: 余弦
listen: 听
production: 制造
soon: 不久
board: 木板
culture: 文化
billion: 十亿
king: 国王
chance: 机会
secretary: 秘书
brother: 兄弟
energy: 精力
fail: 失败
realize: 了解
opportunity: 机会
operation: 操作
summer: 夏天
share: 部分
foreign: 外国的
lord: 统治者
agreement: 同意
plant: 植物
simple: 简单的
contract: 合约
concerned: 关心的
choice: 选择
thousand: 千
security: 安全
daughter: 女儿
occur: 发生
administration: 行政
david: 大卫
husband: 丈夫
congress: 国会
election: 选举
floor: 地板
future: 未来
campaign: 战役
used: 使用过的
colour: 颜色
population: 人口
various: 不同的
rise: 上升
economy: 经济
represent: 表现
medical: 医生
close: 结束
shop: 商店
loss: 损失
clearly: 清楚地
risk: 冒险
evening: 傍晚
animal: 动物
current: 涌流
fire: 火
standard: 标准
purpose: 目的
wrong: 错误的
benefit: 利益
defense: 防卫
p: 便士
behavior: 行为
page: 页
anyone: 任何人
fine: 罚款
discuss: 讨论
myself: 我自己
west: 西方
factor: 因素
sport: 运动
per: 每一
prove: 证明
rest: 休息
argue: 提出理由
charge: 指控
performance: 施行
fight: 打架
pattern: 模范
throw: 投
present: 现在
top: 顶部
design: 设计
quickly: 很快地
past: 过去
goal: 目标
royal: 王室
april: 四月
author: 作家
enjoy: 享受
despite: 轻视
fill: 装满
pressure: 压
focus: 焦点
knowledge: 知识
drop: 滴
june: 六月
blood: 血
agency: 代理机构
basis: 基础
march: 三月
push: 推
further: 更远的
color: 颜色
size: 大小
introduce: 介绍
recently: 最近
series: 串联
garden: 花园
store: 商店
environment: 环境
sound: 声音
note: 笔记
success: 成功
enter: 进入
near: 近的
analysis: 分析
arrive: 到达
natural: 白痴
thought: 想法
ensure: 确定
region: 区域
list: 目录
race: 种族
concern: 关心
statement: 陈述
relation: 关系
significant: 重要的
hot: 热的
sea: 海
principle: 原则
demand: 要求
labour: 劳动
response: 反应
dead: 死的
refer: 提交
capital: 首都
decade: 十年
round: 圆
tv: 电视
article: 文章
hotel: 旅馆
shoot: 射击
above: 在上方
east: 东方
forward: 向前的
save: 救球
village: 村庄
artist: 艺术家
station: 车站
nine: 九
individual: 人
scene: 场
attempt: 尝试
stock: 树干
career: 事业
feature: 面孔的一部分
association: 协会
income: 收入
treatment: 治疗
beyond: 超过
happy: 快乐的
relate: 讲
exactly: 确切地
following: 下列各项
cup: 杯子
protect: 防卫
nice: 美好的
organisation: 组织
manage: 处理
dog: 狗
affect: 影响
fund: 基金
serious: 严肃的
identify: 识别
media: 媒体
please: 请
ready: 预备好的状态
sign: 符号
whatever: 无论什么
difficulty: 困难
machine: 机器
modern: 现代人
degree: 程度
legal: 法律的
answer: 答案
scotland: 苏格兰
cell: 单元
resource: 资源
growth: 生长
left: 左边的
mile: 英里
compare: 比较
determine: 决定
lady: 淑女
prepare: 准备
disease: 疾病
whom: 谁
final: 期末考试
recognize: 认出
task: 工作
function: 官能
ability: 能力
provision: 钱和设备
county: 县
indicate: 显示
character: 个性
behaviour: 行为
defence: 防卫
style: 风格
wonder: 奇迹
attack: 攻击
st: 段表
obtain: 获得
science: 科学
television: 电视
announce: 宣布
box: 盒子
feeling: 摸
pretty: 漂亮的
everybody: 每个人
hall: 门厅
skill: 技术
physical: 身体的
horse: 马
lay: 放置
user: 使用者
message: 消息
outside: 外面
nor: 也不
normal: 常态
forget: 忘记
peter: 逐渐消失
sex: 性别
investment: 投资
lawyer: 律师
army: 军队
environmental: 周围的
dr: 博士
glass: 玻璃
suffer: 遭受
sister: 姐妹
pm: 出纳员
previous: 早先的
maintain: 维持
professor: 教授
crime: 犯罪
publish: 出版
france: 法国
ok: 好
responsibility: 责任
total: 全体的
argument: 争论
miss: 失误
anyway: 无论如何
avoid: 避免
bill: 帐单
prime: 最佳部分
express: 快车
gun: 枪
suppose: 推想
blue: 蓝色
finish: 完成
element: 元件
strategy: 战略
duty: 责任
july: 七月
tend: 走向
truth: 事实
leg: 腿
song: 歌
democratic: 民主的
park: 公园
check: 检查
suddenly: 突然
title: 头衔
treat: 宴请
dark: 黑暗
throughout: 到处
discussion: 讨论
generally: 通常
laugh: 笑
aspect: 外观
guess: 猜测
executive: 执行部门
industrial: 工业的
chairman: 主席
remove: 移动
hang: 悬挂
visit: 拜访
entire: 整个
rock: 岩石
sorry: 难过的
sun: 太阳
united: 联合的
exist: 存在
river: 河
paul: 保罗
customer: 消费者
institution: 机构
encourage: 鼓励
network: 网络
specific: 特效药
appropriate: 适当的
profit: 利润
religious: 宗教性的
cold: 感冒
reflect: 反射
assume: 假定
admit: 承认
stone: 石头
measure: 尺寸
conference: 会议
green: 绿色
division: 分
memory: 记忆
card: 卡片
smile: 微笑
replace: 代替
seat: 座
post: 柱
george: 乔治
procedure: 程序
commission: 委任状
trial: 审判
expert: 专家
proposal: 提议
spring: 春天
unless: 除非
mention: 提到
democrat: 民主人士
improve: 改良
radio: 无线电
circumstance: 环境
client: 客户
obviously: 显而易见地
imagine: 想像
sector: 扇形
direction: 方向
tonight: 今晚
basic: 基本原理
huge: 极大的
ball: 球
soviet: 代表会议
successful: 成功的
yourself: 你自己
intend: 计划
original: 最初的
impact: 冲击
attitude: 态度
respond: 以...回答
aware: 知道的
discover: 发现
popular: 通俗的
traditional: 传统的
onto: 在...之上
reveal: 露出
de: 非对映体过量
germany: 德国
weapon: 武器
employee: 职员
cultural: 文化的
employment: 雇用
peace: 和平
hon: δ-羟基-γ-氧代正缬氨酸
refuse: 拒绝
pain: 痛苦
prevent: 预防
october: 十月
affair: 事件
appeal: 恳求
shake: 摇动
fly: 苍蝇
heavy: 重的
interview: 面谈
regard: 关心
chair: 椅子
fish: 鱼
professional: 专业人才
holiday: 假日
camera: 照相机
technique: 技巧
item: 项目
medium: 媒体
politics: 政治
pupil: 学生
perform: 进行
version: 一种描述
weight: 重
candidate: 候选人
okay: 好
direct: 直接的
press: 压
advice: 忠告
trip: 旅行
inside: 内部
september: 九月
sales: 销售的
library: 图书馆
adult: 成人
advantage: 优点
operate: 操作
worry: 担心
surface: 面
america: 美洲
immediately: 直接地
deep: 深的
worth: 价值
edge: 边缘
variety: 多样
writer: 作家
james: 詹姆斯（姓氏
trouble: 烦恼
island: 岛
challenge: 挑战
january: 一月
fear: 恐怖
shoulder: 肩
useful: 有用的
depend: 靠
middle: 中央
sunday: 星期日
majority: 多数
dream: 梦
extent: 范围
bar: 条
enable: 使能够
beautiful: 美丽的
competition: 竞争
instead: 作为替代
parliament: 国会
goods: 货物
speaker: 说话人
stuff: 原料
complete: 完全的
access: 通路
richard: 理查德
somebody: 了不起的人
magazine: 杂志
text: 文本
soldier: 军人
thirty: 三十
easily: 容易地
sexual: 性的
effective: 有效的
bag: 袋子
western: 西方人
heat: 热
payment: 付款
york: 约克郡
marriage: 婚姻
mouth: 嘴
ah: 啊
tough: 恶棍
independent: 独立自主者
sing: 唱
facility: 容易
survey: 纵览
reference: 参考
german: 德国人
realise: 实现
context: 上下文
skin: 皮肤
agent: 代理商
scottish: 苏格兰的
owner: 拥有者
earlier: 早的
extend: 扩充
gas: 气体
ahead: 领先的
importance: 重要
earth: 地球
generation: 一代
commercial: 商业的
address: 住址
object: 物体
cancer: 癌
possibility: 可能性
involved: 难懂的
interesting: 有趣的
reality: 实在
coach: 四轮大马车
means: 方法
notice: 注意
yard: 码
beat: 心跳
planning: 计划的制订
violence: 猛烈
collection: 收集
communication: 交流
ireland: 爱尔兰
fifty: 五十
considerable: 相当的
finger: 手指
arise: 站立
species: 种
fit: 适宜
partner: 合伙人
supply: 补给
positive: 肯定的
civil: 市民的
examine: 检查
kitchen: 厨房
michael: 迈克尔
consumer: 消费者
document: 文件
define: 定义
shot: 发射
budget: 预算
responsible: 有责任的
painting: 画
scientist: 科学家
safe: 保险箱
solution: 解决
november: 十一月
december: 十二月
influence: 影响力
existing: 存在的
victim: 受害人
newspaper: 报纸
software: 软件
bear: 熊
threat: 恐吓
opinion: 意见
attorney: 代理人
score: 得分
district: 区域
bird: 鸟
wales: 威尔士
audience: 听众
damage: 损害
rich: 富裕的
tomorrow: 明天
dinner: 晚餐
recognise: 认识
requirement: 需求
vote: 投票
extra: 额外的事物
travel: 旅行
debate: 辩论
citizen: 市民
exchange: 交换
quarter: 四分之一
none: 一点也不
option: 选择权
front: 前面
born: 天生的
opposition: 反对
eventually: 最后
occasion: 场合
senior: 年长者
highly: 非常
arrangement: 排列
wind: 风
key: 钥匙
mission: 任务
target: 目标
aid: 帮助
fast: 快速的
alone: 孤独的
match: 比赛
charles: 查尔斯
railway: 铁路
attend: 参加
speech: 演讲
concept: 观念
lack: 缺乏
participant: 参加者
corner: 角落
southern: 南方人
fresh: 新鲜的
forest: 森林
video: 影像
global: 通用的
mum: 菊花
senate: 参议院
slightly: 些微地
reform: 改革
gain: 增益
fully: 十分地
restaurant: 餐馆
judge: 法官
scale: 刻度
equipment: 装备
afternoon: 午后
release: 释放
labor: 劳动
credit: 信用
critical: 批评的
male: 男人
review: 检讨
recall: 回忆
ii: 微光
interested: 感兴趣的
stare: 注视
safety: 安全
otherwise: 否则
hill: 小山
neighborhood: 附近
hardly: 刚刚
below: 在下面
status: 状态
troop: 军队
directly: 径直地
expression: 表达
hurt: 伤害
tea: 茶
christmas: 圣诞节
sale: 出售
track: 轨迹
band: 带子
ms: 美国微软公司
strike: 罢工
failure: 失败
sky: 天空
freedom: 自由
reader: 读者
absolutely: 完全地
fair: 展览会
plane: 平面
nobody: 小人物
essential: 要素
confirm: 证实
adopt: 采用
powerful: 有力的
saturday: 星期六
perfect: 完成时
trust: 信任
conduct: 行为
completely: 完全地
conversation: 会话
touch: 触觉
farm: 农场
sentence: 句子
smith: 铁匠
file: 档案
oxford: 牛津
primary: 最主要者
sleep: 睡眠
obvious: 明显的
length: 长度
copy: 副本
investigation: 调查
balance: 平衡
nuclear: 核子的
researcher: 研究人员
branch: 树枝
conflict: 战斗
spirit: 精神
states: 美国
league: 同盟
british: 英国的
doubt: 怀疑
train: 火车
accident: 意外事件
camp: 露营
february: 二月
brain: 脑
william: 威廉
studio: 工作室
am: be的单数第一人称
weekend: 周末
dozen: 打
strength: 力量
normally: 正规地
contact: 联系
insurance: 保险
battle: 战役
beginning: 开始
shape: 形状
contribution: 捐助
transport: 运输
african: 非洲人
cash: 现金
crisis: 危机
fan: 风扇
works: 工程
museum: 博物馆
stick: 棍
hole: 孔
pair: 一双
annual: 年刊
associate: 同伴
vision: 视觉
marry: 与...结婚
chinese: 中文
presence: 出席
ship: 船
protection: 保护
collect: 收集
slowly: 慢慢地
queen: 王后
master: 主人
driver: 驾驶员
meaning: 意义
spot: 污点
ice: 冰
boat: 船
employ: 雇用
drink: 饮料
exercise: 行使
consequence: 结果
distance: 距离
wood: 木材
relatively: 相对地
truck: 卡车
handle: 柄
robert: 警察
august: 八月
mountain: 山
relevant: 有关联的
supposed: 想象上的
apparently: 表面上
tradition: 传说
winter: 冬天
speed: 速率
route: 路径
proportion: 比例
consideration: 考虑
assessment: 评估
roll: 卷
africa: 非洲
latter: 后者的
emerge: 浮现
screen: 幕
regional: 地方的
fig: 无花果
resident: 居民
hide: 兽皮
mark: 标志
gold: 黄金
separate: 独立件
deny: 否认
practical: 实际的
potential: 潜在性
understanding: 理解
aim: 目标
danger: 危险
progress: 进步
path: 路径
reaction: 反应
crowd: 群众
flower: 花
christian: 基督徒
appoint: 任命
apartment: 房间
merely: 只
willing: 乐意的
regular: 规则的
link: 环
comment: 注解
due: 应得的东西
content: 内容
conclusion: 结论
prison: 监狱
chief: 领袖
ride: 骑马
guard: 守卫者
terms: 条件
reply: 答复
reporter: 记者
justice: 正义
deliver: 递送
observe: 觉察到
etc: 及其他
belief: 信念
tool: 工具
wild: 荒野
mhm: 哦
vehicle: 交通工具
flight: 飞行
settle: 有背长椅
ignore: 不理睬
sight: 景观
average: 平均
estate: 不动产
quick: 快的
leadership: 领导能力
wine: 葡萄酒
earn: 赚得
ring: 环
bright: 明亮的
henry: 亨利
propose: 计划
additional: 附加的
guest: 客人
dad: 爸爸
sample: 样品
contribute: 有助于
possibly: 可能
tiny: 很少的
block: 街区
clothes: 衣服
active: 活跃的
feed: 饲料
employer: 雇主
debt: 债务
identity: 身份
objective: 目的
largely: 大量地
arrange: 安排
mostly: 大概
lesson: 课
survive: 比...活得长
faith: 信心
telephone: 电话
carefully: 小心地
photo: 相片
promote: 促进
living: 生活
count: 计算
mary: 玛丽
farmer: 农夫
injury: 伤害
package: 包裹
ear: 耳朵
nevertheless: 然而
colleague: 同事
complex: 综合体
folk: 人们
impossible: 不可能的
concentrate: 浓缩
confidence: 信心
lift: 举起
mainly: 主要地
border: 边缘
jump: 跳
gather: 集合
limit: 界限
forty: 四十
cry: 叫声
eg: 例如
cross: 十字架
warm: 暖和的
visitor: 参观者
commitment: 委托
critic: 批评家
plus: 加上
volume: 册
insist: 坚持
somewhere: 到某处
currently: 现在
french: 法国人
legislation: 立法
manner: 样子
entirely: 完全
background: 背景
spread: 传播
baseball: 棒球
entry: 登录
engine: 引擎
soft: 软的
egg: 蛋
edward: 爱德华
cabinet: 橱柜
demonstrate: 示范
introduction: 介绍
anybody: 任何人
previously: 先
domestic: 家庭的
murder: 谋杀
gift: 礼物
religion: 宗教
editor: 编者
prefer: 宁可
engage: 答应
ordinary: 平常的
coffee: 咖啡
extremely: 极端地
cheap: 便宜的
threaten: 恐吓
relief: 减轻
commit: 委托
technical: 技术上的
grant: 授予
actual: 真实的
female: 女性
strange: 奇怪的
youth: 年轻
repeat: 重复
wave: 波
bus: 公交车
afraid: 害怕的
regulation: 规则
native: 本地人
broad: 宽广的
wage: 工资
wonderful: 令人惊奇的
row: 排
acquire: 获得
thomas: 多马
twice: 两次
suit: 套装
perspective: 远景
fairly: 美观地
growing: 成长的
blow: 吹
construction: 建筑
meal: 一餐
excellent: 优良的
intelligence: 智力
destroy: 破坏
internal: 内在的
category: 种类
cook: 厨子
tour: 旅游
connection: 连接
burn: 烧
shoe: 鞋
traffic: 交通
football: 足球
neighbor: 邻居
exhibition: 表现
grade: 等级
launch: 下水
ec: 电子计算机
hey: 嗨
mistake: 错误
sheet: 床单
equally: 相等地
location: 位置
bridge: 桥
appearance: 出现
quiet: 安静
indian: 印度人
dress: 服装
promise: 诺言
improvement: 进步
description: 描述
bone: 骨头
session: 期间
northern: 北方人
housing: 遮盖
twelve: 十二
combine: 联合
flat: 平坦的
discipline: 训练
contrast: 差别
cool: 凉爽
lip: 唇
voter: 选民
increasingly: 逐渐地
existence: 存在
gentleman: 绅士
learning: 学问
distribution: 分配
hell: 地狱
dangerous: 危险的
proper: 适当的
remind: 提醒
moral: 道德
retain: 保持
famous: 出名的
victory: 胜利
theatre: 戏院
academic: 学院的
prince: 王子
internet: 因特网
healthy: 健康的
loan: 贷款
code: 代码
negative: 否定
representative: 代表
japan: 日本
historical: 历史的
medicine: 药
usual: 平常的
unable: 不能的
belong: 属于
finding: 发现
respect: 尊敬
attract: 吸引
grab: 抓握
classroom: 教室
limited: 有限制的
photograph: 相片
formal: 正式的
participate: 参加
daily: 每日的
writing: 书写
reject: 被拒之人
assess: 估定
knee: 膝
joint: 连接处
pension: 养老金
tape: 带子
hire: 租金
rain: 雨
explanation: 解释
familiar: 熟悉的
consist: 组成
plate: 碟
unemployment: 失业
lovely: 可爱的
actor: 男演员
conservative: 保守的
asset: 资产
birth: 出生
ie: 中断启动
ltd: 有限的
search: 搜寻
tie: 带子
democracy: 民主政治
invite: 邀请
eastern: 东方人
factory: 工厂
circle: 圆周
capacity: 容量
device: 装置
vary: 改变
bottom: 底部
selection: 选择
warn: 警告
clean: 干净的
finance: 财政
surely: 的确地
impose: 征
rural: 乡下的
j: 字母j
lean: 瘦肉
neck: 脖子
intention: 意图
plastic: 塑料
tall: 高的
whereas: 然而
initial: 字首
hate: 恨
thanks: 感谢
examination: 考试
alive: 活着的
definition: 定义
declare: 宣布
theater: 戏院
substantial: 重要材料
aircraft: 航空器
chicken: 小鸡
abuse: 滥用
output: 输出
shut: 关闭
suitable: 适当的
immediate: 立即的
map: 地图
fourth: 第四
divide: 分开
welcome: 欢迎
ought: 应该
equal: 对手
lots: 大量
paris: 巴黎
literature: 文学
reasonable: 合理的
offence: 犯罪
desire: 欲望
leading: 领导
x: 未知数
reduction: 减少
paint: 油漆
working: 工作
detailed: 详细的
nod: 点头
appointment: 约会
fuel: 燃料
leaf: 叶
dry: 干的
russian: 俄国人
instruction: 指令
concentration: 集中
overall: 全部的
pool: 池
climb: 攀登
enterprise: 企业
sweet: 甜蜜
edinburgh: 爱丁堡
bedroom: 卧室
salt: 盐
expand: 使膨胀
metal: 金属
pp: 包裹邮递
fat: 脂肪
ticket: 票
expensive: 贵的
disappear: 消失
recommend: 推荐
corporate: 社团的
correct: 正确的
reading: 阅读
sufficient: 充分的
urban: 都市的
bottle: 瓶子
mental: 心智的
absence: 缺席
lunch: 午餐
criticism: 批评
educational: 教育的
teaching: 教学
shout: 呼喊
sugar: 糖
irish: 爱尔兰人
planet: 行星
favorite: 喜欢的事物
transfer: 迁移
explore: 探险
error: 错误
assembly: 与会者
enemy: 敌人
acid: 酸
greatest: 最大的
straight: 直线
surround: 包围
athlete: 运动员
settlement: 安顿
scientific: 科学的
soul: 灵魂
undertake: 试图
module: 组件
inc: 根据法律组成的公司
panel: 嵌板
totally: 完全地
mom: 妈妈
married: 已婚的
weather: 天气
instrument: 工具
whilst: 当...的时候
pleasure: 快乐
predict: 预知
select: 挑选出来的
presidential: 总统制的
channel: 海峡
emotional: 情绪的
fee: 费用
supreme: 至高
pocket: 口袋
friday: 星期五
thin: 薄的
temperature: 温度
beside: 在旁边
poll: 投票
surprise: 惊奇
waste: 浪费
solicitor: 律师
frequently: 频繁
implication: 牵连
breath: 呼吸
recognition: 赞誉
institute: 学会
component: 元件
republic: 共和国
minority: 少数
seriously: 严肃地
properly: 适当地
connect: 连接
unlikely: 不太可能的
partly: 部分地
elsewhere: 在别处
double: 两倍
necessarily: 必然地
organize: 组织
empty: 空的
household: 一家人
guide: 引导者
trail: 踪迹
novel: 小说
somehow: 不知何故
jury: 陪审团
nurse: 护士
experiment: 实验
iraqi: 伊拉克人
breast: 胸部
jack: 插座
silence: 沉默
acknowledge: 承认
secure: 无虑的
sixty: 六十
theme: 主题
publication: 出版物
storm: 暴风雨
increased: 增强的
expenditure: 开支
desk: 书桌
treaty: 条约
slow: 慢的
fruit: 水果
journey: 旅程
yellow: 黄色
noise: 噪音
shadow: 阴影
struggle: 斗争
conclude: 结束
dance: 跳舞
sum: 总数
analyst: 分析者
organise: 组织
imply: 暗示
being: 存在
illustrate: 举例说明
monday: 星期一
captain: 船长
shift: 变化
revenue: 收入
locate: 找出
phase: 时期
display: 显示
initiative: 主动行动
basically: 基本上
